id;further_remarks
987752;Verabschiedung KuK
1008235;Orga Frühstück
969388;Erstellung von (Musik-)Noten für die Verabschiedung von Kollegen
591857;Gewerkschaftstag
869682;Vorbereitung Abschied
863499;Vorbereitung Abschied
862566;Vorbereitung Abschied
901180;Vorbereitung Abschied
901181;Vorbereitung Abschied
901185;Vorbereitung Abschied
901192;Vorbereitung Abschied
901195;Vorbereitung Abschied
901196;Vorbereitung Abschied
901202;Vorbereitung Abschied
823472;Global Goal Festival
823473;Glabal Goal Festival
666841;Fahrzeit (unterrichtsfreier Tag)
675170;Präsentatinsleistung
690059;Noteneintragung / Heftpflege
969424;Teilnahme an Theateraufführung des Profils
198479;Multi Studie
281094;Multi Studie
302706;Multi Studie
460484;Klage dienstlich gewünschte Impfung
879558;Vorbereitung Jahrgangssprechersitzung
879387;Vorstellen CKS
773914;Kollegialer Austausch
774211;LEG-Ziele
871886;Fortbildungsportfolio erstellen
803734;Garten: Gespräch mit 2 Schülerinnen
842003;Hospitationsnachbesprechung
694652;Bearbeitung des Fragebogens für die Schulinspektion
733107;E-Mails lesen (sonst.)
850102;Buchrückgabe
855080;Schulgarten
432402;Handy abhanden gekommen, Datenschutz veranlassen (SIM-Karte und Handy sperren…)
1003399;Für Musikunterricht: Stimmübungen, Liedbegleitung üben
1003391;Für Musikunterricht: Lieder anspielen, Lieder raussuchen, Stimmübungen, Liedbegleitung üben
1003385;"Für Musikunterricht: Lieder raussuchen, Liedbegleitung üben, Stimmübungen,
neue Saiten aufziehen und das Instrument vorbereiten"
1003407;Für Musikunterricht und Ensembleleitung: Stimmübungen, Gitarre üben,
1007280;Gitarre üben, Stimmbildungs-Übungen
1007278;Instrument üben für den Musikunterricht in der Schule...Ich hatte lange nicht mehr Gitarre geübt. Als Musiklehrerin muss ich eigentlich immer mal wieder üben / spielen, um auf dem Instrument für den Unterricht fit zu bleiben.
1003404;Für Musikunterricht und Ensembleleitung: Gitarre üben, Stimmbildung
1011066;"""Daten-Hygiene"" bei IServ
Gruppen, hochgeladene Dateien aus dem letzten Schuljahr, ältere Mails, Texte, Video-Konferenz-Räume... löschen"
880174;Essen für Konferenz vorbereiten
880695;Abrechnung AuB
882068;Bereitschaft
883005;Beurteilungsgespräch mit SL Mitglied
57117;Küche
885201;Redaktionelle Tätigkeit für die Seite Infoportal.lernen.hamburg.de
885782;Betreuung Amir
885784;Betreuung und Pendeln Amir
886173;Geldabgabe Schulfest
886217;Auswertung Feedback
886327;Organisation Unterrichtsverteilung nächstes Jahr
886753;Orga Praktikum IVK
886814;Mail an Frau ZUmbeck
887977;Schulgarten
715272;MLS pädGT
891850;Nachbereitung Zeugniskonferenz
892536;Praktikumsbesuche inkl. Fahrtzeit
892703;Gemeinsamer Profilabend
893735;Schulbesuch der Reformschule Kassel
893967;Mündliches Abitur FPAV Vorbereitung
893979;English Show Aufführung
894428;Praktikumsbesuche
895086;Absprachen mit Kal/Fr zu Ma-FL
899481;Brandschutzübung
899477;F-Zeiten Ausschreibungen
899480;Absprache Termine d. Praktikumsbesuche
899485;Arbeitsplatzorganisation und Absprache d. Praktikumsbesuche
899562;Ermittlung der Fehlzeiten für die Zeugniserstellung
900010;Klassenzimmer aufräumen
900194;Umfrage zur Inklusion
900903;Telefonate Praktikumsbesuche
901653;Kollegiumsfeier
901613;Praktikumsbesuch
901670;mündliches Abitur: Konzeption Erwartungshorizont
902100;Vorbereitung Abschied
902316;?
902671;Betreuung Amir
902673;Betreuung Amir
902681;Betreuung, Pendeln, Toilette Amir
902750;Vorbereitung Praktikumsbesuche
902922;Abistreich
903493;Kompetenzkreuze hochladen
903497;Kompetenzkreuze hochladen
903502;Kompetenzkreuze hochladen
903584;Praktikumsbesuche
904071;Milch kaufen
904303;Überprüfung der WAZ-Abrechnung des aktuellen und des kommenden Schuljahres
908564;Arbeitszeitkonten und Stundenplanung nachvollziehen
908634;Praktikumsbesuche
908782;Praktikumsbesuche inkl. Fahrzeiten
909192;Praktikumsbesuche
909525;Praktikumsbesuche inkl. Fahrzeiten
909813;Praktikumsbesuch
909821;Praktikumsbesuch
909833;Praktikumsbesuch
909886;Praktikumsbesuch
909985;Ausdrucken AuB
910545;Vorbereitung auf Abiturprüfung
910835;Praktikumsbesuche
910840;Praktikum
910896;AuB Abrechnung
914919;Bili certificates
914892;IQB-Fragebogen
915179;Vorbereitung mündliches Abitur
915175;Korrektur, Ausdruck und Unterschreibung sowie Zusammenstellung des notwendigen Anhangs des Protokolls der Lehrerkonferenz am 29.05.2024, welches ich geschrieben habe.
915283;Praktikumsbesuch
915351;Praktikumsbesuche
915292;Praktikumsbesuch
915324;Entwicklungsbögen ankreuzen
915588;Praktikumsbesuche
915820;Einträge Klassenbuch als Fachlehrerin
916124;Vorbereitung Abschiedsgeschenk Fachschaftsleitung
916352;Catering Abi
916428;Zeugnisse schreiben
917124;Vorbereitung Mündliche Abiprüfungen
917729;Zeugnisnoten berechnen, erfassen, Fehlzeiten erfassen 11b und 11c
917880;Treffen CKS
921930;Sortierung Preise Big Challenge (Englisch-Wettbewerb)
921986;Vorbereitung auf mündliches Abitur
921988;Praktikumsbesuch inkl. Fahrzeiten
922090;Vorbereitung auf das mündliche Abitur
922558;Julianischer Dauerlauf
922575;Praktikumsbesuch
922576;Zeugnisse schreiben
922581;Räume für Prüfungen vorbereiten
923154;Kontrollieren der. Stundenverteilung und Faktorisierung
923250;Vorbereitungen Exkursion
923243;Zeugnisnoten berechnen und nach Divis übertragen
923839;Kollegiumsausflug
923862;Zeugnistexte schreiben
924221;Zeugniserstellung
924512;Zeugnisse
926576;Unterstützung bei der Schulbuchrückgabe
928244;Julianisches Dauerlauf
928305;Praktikumsbesuche
928811;Abschiedsgeschenk Fachleitung Theater
928991;Praktikumsbesuche
929003;Redaktionssitzung
929008;Praktikumsbesuche
929203;Praktikumsbesuche
929467;Vorbereitung auf mündliches Abitur
929535;Ausflug Elbstrand
89232;Bau am Modell der Oberstufe
930012;Abschlussfeier/ Zeugnisübergabe
930031;Videokonferenz mit der Klasse
930110;Entwicklungsbögen ankreuzen
930138;Entwicklungsbögen ankreuzen
930184;Hospi abiturprufung
930186;Hospi abiprufung
930525;Notenberechnung und DIVIS-Eingabe
930558;Hospitation als Fachkollegin im mündlichen Abitur und kollegiale Reflexion
930745;Praktikumsbesuche
930750;Praktikumsbesuche
931183;Schulgarten
95652;Multi Studie
931400;Abschlussfeier Jahrgang 10
935101;Vorsitz Abiturprüfung (F-Zeit) Vorbereitung auf die Prüfungen
935105;Vorsitz Abiturprüfung (F-Zeit)
935109;Vorsitz Abiturprüfung (F-Zeit)
935114;Vorsitz Abiturprüfung (F-Zeit) Vorbereitung auf die Prüfungen
935339;Teilnahme an Umfrage zur Arbeitsbelastung von Lehrkräften
935478;Praktikumsbesuch
935563;Praktikumsbesuch
935628;Besuch des Schulkonzerts
935753;Praktikumsbesuche
936549;Umfrage zur Arbeitsbelastung
936752;aufräumen
936841;Sommerfest
936879;Umfrage zur Zeiterfassung
937125;Verabschiedung
937343;Schuljahresabschluss Abteilung 8-10
937317;Abschlussfeier Klasse 10
937385;Orga Abschiedsgeschenk Fachleitung
937655;Vorbereitung der Abschlussfeier Klasse 10
937894;Abrechnung AuB
937862;Begleitung eines S zum Krankenhaus, warten auf Eltern und Fahrt zurück
937864;Gyle Sommerfest
938129;Fragebogen
938232;Vorbereitung letzte 3 Prüfungen mündlich. Abi
938233;mündliches Abitur letzte 3 Prüfungen
938225;S1 Notenberechnung + Divis Eintrag
938230;7c Notenberechnung + Divis Eintrag
938282;Orga Abschied AL
938432;Buch Martin
938542;Buch für Martin
938718;techn. Probleme Divis
938769;Referenzschreiben für Kollegen verfassen
939130;Vorbereitung der Klassenfahrt
939219;Umfrage Zeiterfassung
939231;Probefeueralarm
939404;Online Umfrage Zeiterfassung
943231;Zeitwünsche fürs kommende SJ ausfüllen
104701;Grünkohlessen im Kollegium
944236;Freigestellt wg. Gerichtvorladung
944223;Fragebögen
944535;Projekttag 7f
945039;Probe
945174;Organisation Fortbildungen
945301;To-Do-Liste nächste Tage
945286;Umfrage zur Arbeitszeit
945378;"Klärung: Antrag auf Rückgabe von Kosten; Klärung: steuerliche Fragen (zählt mein 1-Quadrat-Meter-Arbeitsplatz als Arbeitsplatz?)"
945417;Praktikumsbesuche
945976;Praktikumsbesuche
946095;Zeugniskommentare
946384;Projektwoche
946534;Fragebogen 2 beantworten
946594;Abrechung AuB
950291;Krankmeldung (Mail mit Infos und Aufgaben)
950679;Fragebogen Teilnahme
950659;Elternzeit ab 27.6.24-26.7.24
950792;Einkauf von Gewinnen für die Schüler*innen
950814;Praktikumsbesuche
950816;Praktikumsbesuche
950820;Praktikumsbesuche
950953;Infoportal
950954;Praktikumsbesuch
950956;Praktikumsbesuch
950955;Projektwoche
951039;Praktikumsbesuche
951043;Praktikumsbesuche
951388;Vorbereitung der Projektwoche in dieser Woche (ich bekomme als Springer ein fremdes Projekt zugewiesen)
951566;Hospitation an einer anderen Stadtteilschule
952289;Teilnahme an Umfrage zur Arbeitsbelastung von Lehrkräften
952282;Theaterstück 5a
952481;Planung Sommerfest
952579;Befragung
952650;Beitrag zur Projektwoche und Schulgarten
952762;Portfolio Fortbildungen
956271;Praktikumsbesuch
956311;Kurswechsel DiVis
956686;Projektwoche
956904;Umfrage
510054;Organisation Nachschreiber
957212;Projektwoche
957217;Vorbereitung Schulfest
957680;Wegezeit
957681;Wegezeit
957771;Vorbereitung Band Schulfest
957965;Praktikumbesuche
957969;Praktikumsbesuch
958168;Klärung eines Vorfalls während des Unterrichts bei der Polizei
958242;Lesen wichtige Kommunikation
958324;Vorbereitung Auftritt Schulband
958563;Entlassungsfeier 13c
958582;Abientlassungsfeier
958784;Schulgarten
958953;Abiverleihung
958935;Weg zur Schule nach Exkursion mit Schülern wegen der Konferenz
962541;Aufräumen
962618;Schreiben von Abschiedsbriefen für den Abiturjahrgang
962660;Treffen mit dem Referendar, den ich ab dem kommenden Schuljahr betreue
962808;Fragebogen zum Philosophieunterricht ausfüllen
963638;Vertretungsbereitschaft
963655;Vertretungsbereitschaft
963794;Projektwoche
963839;Praktikumsbesuche
963955;Zeugnisse erstellen
964088;Abizeugnisausgabe
964459;Vorbereitung auf Schulfest
964495;Abiturentlassung
964668;Klassenfest
964805;Praktikumsbesuch
140327;Arbeit am Konzept für Beförderungsstelle
968062;Abifeier
968419;Projektwoche
968418;Planung Sommerfest: In den Kalender eintragen
968468;Fortbildungsportfolio pflegen
968461;Geld für Geschenk (Verabschiedung) überwiesen, Mail geschrieben etc.
968641;Diverse Tätigkeiten
968619;Projektwoche
968621;Projektwoche
968658;Aufbau, Vorbereitung, Durchführung der Verabschiedungsfeier Jg10 betreut durch Tut und SuS des Jg9
968700;Aufräumen
968669;Orga / Absprachen Abiverabschiedung
968874;Sommerfest
969026;Projektwoche
969319;Praktikumsbesuch
969542;Projektwoche
969672;Essen SÜ10-Treffen
969647;Projekte-Präsentation
969657;Gespräch über Schulgarten
969681;Schulgarten
969839;Vorbereitung Schulfest
969938;Auslandsempfehlung schreiben
969929;Aufgaben für Freud-und Leid-Kasse
970188;Vorbereitung Schulfest
970221;Abschlussfest 7c mit Eltern
970451;Klassenfest
970729;Abi Entlassung
970668;Abifeier
970883;Vorbereitung Schulfest
970884;Schulfest
971167;Vorbereitung Schulfest
321174;Verfassen Empfehlungsschreiben als Mathelehrerin
419716;Terminplanung
971445;Abiturverleihung
971534;Abiturfeier
971470;Fragebögen zur Evaluation der Schulleitung ausgefüllt
971576;Praktikumsbesuche
971579;Praktikumsbesuche
546533;Formulare ausfüllen und abgeben
570008;Mails
780708;Vorbereitung Beurteilungshospitation
788142;Vorbereitung Beurteilungshospitation
797384;Vorbereitung Beurteilungshospitation
972018;Vorbereitung Schulfest
972072;Anmeldung zu Fortbildungen
972087;Klassenfest
607821;Durchsicht der Abiklausuren Biologie
972173;Organisation der Geschenke für Kollegenabschied
972368;Zeugnisverleihung Abitur
976328;Projektwoche
976333;Projektwoche
976337;Projektwoche
976342;Projektwoche
976483;Projekttag - Umwelttag
976764;Vorbereitung Schulfest
976749;Organisation Kollegiumsabschied
976933;Schulische Veranstaltung „Sommerfest“ - Betreuung der Klasse VK62
976976;Vorbereitung Verabschiedung von Kolleg*innen
977016;Praktikumsbesuch
977058;Sportfest
977382;Begleitung bei einem Ausflug
977355;Vorbereitung Schulfest
977461;Stundenpläne
977551;Fortbildungsportfolio
977487;Vorbereitung Schulfest
977534;Vorbereitung Schulfest
977676;Pausenangebot
982016;Fortbildungsportfolio
981975;Teilnehmen Schulfest
982042;Putztag
982077;Teilnehmen Schulfest
982364;Sportfest
982472;Verabschiedungen
982548;Vorbereitung Verabschiedungen
982835;Klassenausflug
982839;Dienstweg vom Ausflugsort zur Schule
982784;Verabschiedung stellvertretende Schulleitung
982843;Verabschiedung von Kollegen
982845;Organisation des Schulfestes
982847;Schulfest
983113;Zeugnisse
987070;Verabschiedungsfeier
987253;Praktikumsbesuch
987717;Vorbereitung Aula Abientlassung
987719;Abientlassung
987723;Vorbereitung Schulfest 5a
987726;Schulfest 100 Jahre GA
987983;Projektwoche
987997;Bewerbungsunterlagen für Lehrerkonferenz lesen
987961;Schulgottesdienst und Verabschiedung der Pensionäre und Wechsler
988310;Putzen mit Lerngruppen
988311;Zeugnisausgabe
988325;Vorbereitung des Kollegiumsabschieds
988327;Veranstaltung
988496;Personalratsarbeit - Checkliste Einsatzplan für Kollegen/innen
988601;Schulfest
988604;Kollegiumsfest
988835;Teilnahme Umfrage
667684;Treffen mit Schulaufsicht wg Perspektiven
989238;Verabschiedung
989554;Recherche Film für die Projektwoche
989582;Verabschiedung
989813;Verabschiedung Kollegen
990506;Musik-Probe Verabschiedung Pensionäre
990519;Musik-Probe Verabschiedung Pensionäre
990527;Musik-Probe Verabschiedung Pensionäre
990628;Abiturientenentlassung
990717;Abschlussfeier Jg 10
990784;Planung der Weiterbildung im kommenden SJ
990820;Blumen besorgen für Freud- und Leid, Sommersingen
990821;Karten für Freud und Leid schreiben
990822;Karten und Geschenke besorgen für Freud und Leud
990824;Blumen besorgen für Freud und Leid (Verabschiedungen)
990826;Verabschiedungen (Freud und Leid)
990963;Vorbereitung Abschiedsfeier Chor
990972;Kollegiumsfeier
991040;Schulfest
991041;Verabschiedungsveranstaltung
991263;Unfallmeldung Behörde
991389;Unfallmeldung
991522;Abiball
991523;Abiball
991527;Verabschiedung KuK
992032;Praktilumsbesuch
992197;Mediation mit Schulleiter
992354;Zusatzangebot für eigene Klasse
992357;Zusatzangebot
992340;Abifeier offizieller Teil
992342;Klassensommerfest 6a
992360;Zusatzangebot
992363;Zusatzangebot
992366;Zusatzangebot
993110;Leidenschaften
993134;Final Aufräumen
993235;Zeugnisausgabe
152228;Fahrt ans LI
152234;Rückfahrt vom LI
993600;Freud- und Leidkasse: Verpacken und Versenden der Kollegiumsgrüße
993696;Abientlassung
993699;Vorbereitung/Aufbau Kollegiumsabend
995020;Schleudern
995021;Bienen
995505;Sportfestbetreuung
995509;Planung Abschiedsfest
995511;Organisation, Umbau Abschiedsfest
995512;Aufbau und Orga Abschiedsfest Mensa
995513;Abbbau und Umbau Mensa
996589;Schulgarten
996580;Recherche Schulflur einrichten (Zufallsfund)
996557;Urlaub
996558;Urlaub
996785;Umschreiben von Schul-Emails, Logins etc. Ausfüllen Lehrerkalender
997302;Pendeln
397157;Ferien
744739;Ganztageskonferenz Bildungspläne
998611;Ferien
75828;Orga-Arbeit als Fachlehrer: KA-Termine eintragen
101631;Herausfinden, wie man sich mit Ctouch verbindet.
123001;Handyregel umsetzen
242740;Protokoll vorbereiten
612299;Schulzoo
144298;Dokumentation Sachschaden in einem Unterrichtsraum
281411;Voerbereitung der Hospitationsnachbesprechung der LiV
303225;Schüler hat sich geweigert das Büro zu verlassen, interveniert, weitere disziplinarische Schritte verfolgt
112985;Kollegin ge- u. aufgesucht für Info über Vorfall Pause
837428;Orga Neu 5, Steckbrief
844146;Orga Neu 5, Steckbrief
862168;Neu Team-5-Treffen
218964;Formular Unterrichtswünsche für das nächste Schuljahr ausfüllen
218969;Fragebogen zur psychischen Belastung ausfüllen
319128;Verfassen Empfehlungsschreiben als Mathelehrerin
209421;Fragebogen Gefährdungsbeurteilung
540866;Zwischenstand Noten 11b und 11c
683167;Ibrahim Beratung
689423;Vorausplanung bis SJ Ende
321456;Mails Abi u.a.
325007;Infos zu Fortbildungen und Flex
998982;Fortbildungsportfolio
193898;Vorbereitung KERMIT-Testung
194189;Nachbereitung KERMIT-Testung
999130;Unterrichtseinsatz 24/25 Mail checken und antworten
572607;Planung Unterrichtseinsatz im nächsten Schuljahr
999536;Organisatorisches zum Einstieg in das neue Schuljahr / Aufgabenliste erstellen
999492;Transfer Marerial / Bücher für die neue Klasse
999511;Online-Bestellungen für Klassenraum und Unterricht
999515;Bestellen von Fachliteratur
490971;Üben für Chorkonzert
34639;Multi f Studie
49073;Multiplikator Studie
75317;Multi Studie
999587;Terminplanung/-übertragung Schuljahr 24/25
653209;Gespräch mit The
999881;"Sortieren sämtlicher Klassenmappen und 
Unterrichtmaterialien"
1000257;Schuljahresvorbereitung (Termine, Kalender, Informationsbeschaffung)
523693;Mündliche MSA Prüfungen
523696;Mündliche ESA Prüfungen
385915;Einsatzplanung
79082;Aufsicht Nachteilsausgleich
822665;Mail Schulgarten
824164;Fotos KuK-Ausflug
840132;Schulgarten
854509;Übersetzen
1000659;Termine übertragen in eigenen Kalender
636132;Übernachtung in der Schule
1001351;Stundeplansichtung
628280;Abholung DELE Unterlagen im Chilehaus
1001621;Urlaub
1001636;Planung der Präsenztage, digitale Orga ordnen
1001612;Urlaub
1001613;Urlaub
1001615;Urlaub
390408;Ferien/Urlaub
390409;Ferien/Urlaub
1001733;Urlaubswoche
1001734;Urlaubswoche
1001827;Kollegiumstreffen
1001898;Umfrage
1002075;Emails abarbeiten
1002160;Termine koordinieren
1002427;Eintritt in die Elternzeit am 25.08.2024, Dauer bis 25.10.2024
1002478;Urlaub
1002482;Aufräumen von Unterlagen
243988;Kermit Einlesung und Vorbereitung
332122;Artikel für das Jahrbuch
685412;Spontane Planung in der Pause wegen fehlender Aufgaben
1002688;Urlaub die ganze Woche
125380;Fototermin
129252;Ankreuzen für die LEG
129316;Förderberichte für die SuS, die Unterstützung brauchen
44754;Weg Kahlkamp runter
44761;Weg Kahlkamp hoch
55781;Weg in Kahlkamp
55787;Weg von Kahlkamp
661122;Bewerbung Findungsausschuss lesen
269401;SiC Spanisch
667739;Dataport Anruf
53344;Drucker kaputt, Hausmeister will nicht helfen
165029;ich hab mich in die Raumplanung eingelesen
1003318;Einkauf Essen Lehrerkonferenz
555243;Umfrage IQB
690598;Nächtliches Kopfzerbrechen über pädagogische Maßnahmen
1003467;Verabschiedungen
1003583;Elternzeit
1003888;Projektwoche
540437;Vorbereitung Treffen Stundentafel Na
1004057;Planungstage 5
1004058;Planungstage 5
1004293;eigene Terminplanung für die Präsenstage (Welcher Termin trifft auf mich in den Zeitfenstern zu?)
1004455;Termine des kommenden Schuljahres in den Kalender übertragen
1004459;Eintritt in Elternzeit 14.08. bis 28.08.
1004593;Auslagen-Abrechnungen
1004693;Get together
1004771;Einrichten Schulhandy
1004776;Anmelden neues Handy
1005412;Kollegiumsfoto
1005373;Elternzeit
1005506;Foto
1005552;Kollegiumsfoto
1005656;Emails
584151;Absprache Termin Beurteilungsgespräch
665724;Versuch, Beurteilung zu öffnen und zu lesen
668850;Beurteilungsgespräch
725412;Anlegen der Zeugnisse
803477;Begleitung Schülerin im RTW zum Krankenhaus
803491;Vorbereitung Getränke Jg-Team
734539;Extraprobe Chor
736932;Chor Generalprobe
751566;Aufbau, Chorkonzert, Abbau
844338;Chor Schuljahresausklang
392587;Protokoll Lehrerkonferenz
1006019;Schulgarten
1006197;Sommerferien
1006202;Sommerferien
1006218;Sommerferien
1006220;Sommerferien
1006221;Sommerferien
1006223;Sommerferien
1006227;Sommerferien
1006239;Sommerferien
1006249;Sommerferien
1006253;Sommerferien
1006255;Sommerferien
1006258;Sommerferien
1006484;Sommerferien
1006583;Kollegiumsfoto
1006762;Vorbereitung Konferenztag (Wann muss ich morgen wo sein.)
1007059;Kollegiumsfoto
1007181;Beurteilung durchgehen
1007375;Korrektur des Interviews für das neue Jahrbuch des Gymnasiums Hummelsbüttel
1007426;gemeinsames Frühstück
1007579;Lehrerfoto
1007713;Erste Hilfe Kurs
1007735;Elternzeit
530527;Umfrage Belastungsstudie
846670;Noten IVKb
1008128;Sommerferien
1008130;Sommerferien
1008131;Sommerferien
1008132;Sommerferien
1008218;Orga Frühstück
1008524;Emails abarbeiten
1009069;Studie zur Arbeitsbelastung
1009090;1. Hilfe-Kurs
139847;Präsentation Italienisch Oberstufe
224667;Schülerin mit Email- und Moodle-Account geholfen
1009249;Abbau Frühstück
1009341;Abrechnungen prüfen und Unterlagen sichten, was im Fach lag
1009366;Betriebsausflug
1009541;Umfragen zur Arbeitssituation
84268;Pausenaufsicht
219833;Beratung Praktikantin
281201;Vorlesewettbewerb
548083;In Konzert
1009757;Gespräch Schulleitung SLB - Zielsetzung Funktionsstelle
1009800;Kollegiumsfoto
1009831;Präsenztage (Sicherheitsunterweisung, Datenschutz, Übergaben, ...)
1009833;Fachkonferenzen und
1009796;Planung der Studienfahrt im Herbst 2025
1010407;Kollegiumsausflug
46097;Email UFO interessierter STS- Schüler
1011722;Fototermin Kollegium
1011786;dienstversammlung
1012150;Kollegiumsfoto Homepage
1015817;Sabatjahr
1015818;Sabatjahr
1015819;Sabatjahr
1016682;Präsenztag
1028269;Diese Minute ist keine Arbeitszeit. In den Sommerferien ist bei mir keine Arbeitszeit angefallen. Im Schuljahr 2024/25 arbeite ich nicht in der Schule. Danke fürs Durchführen der Arbeitszeitstudie!
45855;Amokalarm (Verbarrikadierung im Arbeitszimmer)
724030;Papierkram Genehmigung
803738;Gartenarbeit
855604;Schulgarten
861669;Schulgarten
336550;Buchführung/Kommunikation Vertretung
348582;Arbeitszeitverwaltung
1046022;Sabbatjahr: eigentlich Präsenztage
1046023;Sabbatjahr: eigentlich Präsenztage
1046026;Sabbatjahr: eigentlich Präsenztage
1046028;Sabbatjahr: eigentlich Präsenztage
962877;Einrichtung der Aula Technik
963711;Aula Technik erneuern
968195;Aula Technik erneuern
971051;AULA Technik
971052;Aula technik
976788;Aula technik
976789;Aula technik
917934;Gast bei einer Abi-Prüfung
917937;Gast bei mündlichen Abi-Prüfungen
1003425;Für Musikunterricht: Gitarre üben, Liedbegleitung, Stimmübungen
1003410;Für Musikunterricht und Ensembleleitung: Stimmübungen, Gitarre üben, Lieder raussuchen und für Gitarre arrangieren
1007282;Gitarre üben, Lieder ausprobieren, Stimmbildung
1007283;Gitarre üben, Lied-Texte einstudieren, Stimmbildung
1007286;Gitarre üben, Lieder ausprobieren, Stimmbildung
1007292;Für Musikunterricht und Ensembleleitung: Stimmübungen, Gitarre üben, Lieder raussuchen und für Gitarre arrangieren
